aerolinea,origen,destino,distancia_km,retraso,anio,mes,es_fin_semana,bloque_horario
IB,MAD,EZE,7652,0,2025,1,0,madrugada
G3,GRU,MIA,9813,1,2025,1,0,madrugada
AA,GRU,EZE,2447,0,2025,1,0,madrugada
G3,AEP,EZE,4744,1,2025,1,0,madrugada
G3,MAD,MIA,8372,1,2025,1,0,madrugada
LA,MIA,EZE,6789,0,2025,1,0,madrugada
AA,MAD,MIA,11341,0,2025,1,0,mañana
AA,EZE,MAD,5269,0,2025,1,0,mañana
AA,MAD,EZE,5152,0,2025,1,0,mañana
G3,AEP,EZE,10164,1,2025,1,0,mañana
IB,MAD,MIA,2023,0,2025,1,0,mañana
AA,EZE,MIA,1013,0,2025,1,0,mañana
G3,MIA,MAD,4564,1,2025,1,0,tarde
LA,GRU,MAD,9379,0,2025,1,0,tarde
IB,EZE,GRU,6068,1,2025,1,0,tarde
LA,EZE,GRU,2797,0,2025,1,0,tarde
IB,GRU,EZE,1252,0,2025,1,0,tarde
G3,MAD,EZE,666,1,2025,1,0,tarde
AR,AEP,MIA,8087,1,2025,1,0,noche
IB,MIA,GRU,1237,1,2025,1,0,noche
LA,MAD,GRU,3990,1,2025,1,0,noche
G3,GRU,AEP,1093,1,2025,1,0,noche
IB,AEP,GRU,527,0,2025,1,0,madrugada
AR,MIA,EZE,9551,0,2025,1,0,madrugada
AR,AEP,EZE,10214,0,2025,1,0,madrugada
AA,GRU,AEP,6539,0,2025,1,0,madrugada
AA,AEP,GRU,7652,0,2025,1,0,madrugada
LA,MIA,EZE,6038,0,2025,1,0,madrugada
IB,MAD,AEP,7623,0,2025,1,0,madrugada
IB,GRU,MAD,3912,0,2025,1,0,madrugada
AA,AEP,EZE,11543,0,2025,1,0,mañana
IB,GRU,MIA,6613,0,2025,1,0,mañana
IB,MIA,AEP,10920,0,2025,1,0,mañana
AR,MIA,EZE,8473,0,2025,1,0,mañana
AA,MAD,EZE,1719,0,2025,1,0,mañana
G3,MIA,EZE,531,1,2025,1,0,mañana
AA,MAD,EZE,6469,0,2025,1,0,tarde
G3,EZE,GRU,3643,1,2025,1,0,tarde
AR,MAD,EZE,1379,0,2025,1,0,tarde
LA,AEP,EZE,8584,1,2025,1,0,tarde
IB,EZE,MIA,10964,0,2025,1,0,tarde
AR,MIA,MAD,5796,1,2025,1,0,tarde
IB,AEP,EZE,4714,1,2025,1,0,noche
LA,AEP,GRU,9481,1,2025,1,0,noche
LA,AEP,MAD,10522,1,2025,1,0,noche
AR,MIA,EZE,511,0,2025,1,0,noche
LA,MIA,AEP,8197,1,2025,1,0,madrugada
G3,AEP,EZE,5743,1,2025,1,0,madrugada
LA,EZE,GRU,7184,0,2025,1,0,madrugada
IB,AEP,MAD,8080,0,2025,1,0,madrugada
IB,MIA,EZE,3850,0,2025,1,0,madrugada
IB,MIA,EZE,9898,0,2025,1,0,madrugada
IB,MAD,AEP,8565,0,2025,1,0,madrugada
G3,GRU,AEP,723,1,2025,1,0,madrugada
AA,EZE,MIA,10075,0,2025,1,0,mañana
AR,MAD,MIA,3476,0,2025,1,0,mañana
IB,GRU,MIA,11212,0,2025,1,0,mañana
LA,MIA,AEP,3784,0,2025,1,0,mañana
IB,GRU,MAD,9066,0,2025,1,0,mañana
LA,MIA,AEP,10818,0,2025,1,0,mañana
LA,AEP,MIA,4774,0,2025,1,0,tarde
IB,EZE,MAD,2945,0,2025,1,0,tarde
G3,MIA,EZE,6638,1,2025,1,0,tarde
LA,MIA,MAD,10216,0,2025,1,0,tarde
LA,MIA,AEP,8859,0,2025,1,0,tarde
IB,GRU,EZE,5485,1,2025,1,0,tarde
LA,MIA,GRU,4579,1,2025,1,0,noche
LA,AEP,GRU,1947,1,2025,1,0,noche
IB,MAD,MIA,9147,1,2025,1,0,noche
IB,MAD,GRU,11768,0,2025,1,0,noche
AR,MAD,MIA,2088,0,2025,1,0,madrugada
G3,MIA,AEP,4384,1,2025,1,0,madrugada
G3,AEP,MAD,9872,1,2025,1,1,madrugada
LA,GRU,AEP,3078,0,2025,1,1,madrugada
G3,EZE,AEP,5246,1,2025,1,1,madrugada
LA,GRU,MAD,701,0,2025,1,1,madrugada
AR,MIA,AEP,10563,0,2025,1,1,madrugada
IB,AEP,EZE,8388,0,2025,1,1,madrugada
IB,EZE,AEP,5305,0,2025,1,1,mañana
IB,MIA,EZE,10659,0,2025,1,1,mañana
G3,AEP,MAD,5190,1,2025,1,1,mañana
AR,GRU,AEP,6388,1,2025,1,1,mañana
G3,AEP,EZE,7461,1,2025,1,1,mañana
G3,AEP,MIA,607,1,2025,1,1,mañana
AR,GRU,MAD,8929,0,2025,1,1,tarde
AR,MAD,EZE,7864,1,2025,1,1,tarde
AR,EZE,AEP,5277,0,2025,1,1,tarde
AR,GRU,EZE,6967,0,2025,1,1,tarde
IB,EZE,MAD,2968,0,2025,1,1,tarde
AA,MIA,AEP,2742,1,2025,1,1,tarde
AA,MIA,MAD,2790,1,2025,1,1,noche
AR,MAD,MIA,1825,1,2025,1,1,noche
AA,MAD,GRU,3018,1,2025,1,1,noche
AA,GRU,EZE,3969,0,2025,1,1,noche
AR,GRU,MAD,6653,0,2025,1,1,madrugada
AA,EZE,AEP,10273,0,2025,1,1,madrugada
G3,GRU,MAD,9883,1,2025,1,1,madrugada
LA,MAD,AEP,10903,1,2025,1,1,madrugada
LA,MAD,MIA,9283,0,2025,1,1,madrugada
AR,MAD,GRU,4390,0,2025,1,1,madrugada
IB,EZE,MIA,7054,1,2025,1,1,madrugada
AR,GRU,AEP,3990,0,2025,1,1,madrugada
IB,GRU,MAD,10280,0,2025,1,1,mañana
LA,EZE,MAD,1774,0,2025,1,1,mañana
AR,EZE,AEP,8441,0,2025,1,1,mañana
G3,AEP,GRU,7864,1,2025,1,1,mañana
AA,EZE,MAD,4042,0,2025,1,1,mañana
IB,GRU,AEP,3937,0,2025,1,1,mañana
AA,GRU,MIA,3726,0,2025,1,1,tarde
AA,MAD,AEP,11002,0,2025,1,1,tarde
AR,MAD,EZE,616,0,2025,1,1,tarde
AA,AEP,GRU,1330,0,2025,1,1,tarde
G3,EZE,GRU,10370,1,2025,1,1,tarde
AA,MIA,EZE,2374,1,2025,1,1,tarde
AR,AEP,MAD,5060,1,2025,1,1,noche
G3,EZE,GRU,11302,1,2025,1,1,noche
LA,GRU,MIA,8873,1,2025,1,1,noche
AA,AEP,MIA,1004,0,2025,1,1,noche
AR,AEP,MIA,7460,0,2025,1,1,madrugada
LA,EZE,GRU,6964,0,2025,1,1,madrugada
LA,GRU,MIA,1299,0,2025,1,0,madrugada
IB,EZE,AEP,5232,0,2025,1,0,madrugada
G3,GRU,MAD,3741,1,2025,1,0,madrugada
AA,GRU,AEP,2329,1,2025,1,0,madrugada
AR,MAD,GRU,3806,0,2025,1,0,madrugada
IB,MIA,GRU,8776,0,2025,1,0,madrugada
G3,MAD,AEP,7328,1,2025,1,0,mañana
IB,AEP,MAD,2356,0,2025,1,0,mañana
G3,AEP,EZE,4699,1,2025,1,0,mañana
G3,EZE,MAD,7834,0,2025,1,0,mañana
AA,EZE,AEP,6068,0,2025,1,0,mañana
G3,EZE,GRU,9710,1,2025,1,0,mañana
IB,MAD,MIA,3388,0,2025,1,0,tarde
G3,GRU,EZE,7321,1,2025,1,0,tarde
AA,MIA,MAD,9390,0,2025,1,0,tarde
AA,AEP,GRU,11361,0,2025,1,0,tarde
IB,AEP,GRU,8198,0,2025,1,0,tarde
LA,EZE,MAD,9935,1,2025,1,0,tarde
LA,MAD,GRU,835,1,2025,1,0,noche
G3,EZE,AEP,3712,1,2025,1,0,noche
AR,MAD,GRU,11710,1,2025,1,0,noche
G3,GRU,MAD,10196,1,2025,1,0,noche
IB,EZE,MAD,7493,0,2025,1,0,madrugada
IB,GRU,EZE,10146,0,2025,1,0,madrugada
IB,AEP,MAD,10541,0,2025,1,0,madrugada
